SNO,INST_CODE,INST_NAME,TYPE,DISTRICT,PLACE,COED,AFFLIATED,BRANCH_CODE,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BCA_BOYS,BCA_GIRLS,BCB_BOYS,BCB_GIRLS,BCC_BOYS,BCC_GIRLS,BCD_BOYS,BCD_GIRLS,BCE_BOYS,BCE_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS,COLLEGE_FEE
1,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,CIV,146103.0,146103.0,175237.0,175237.0,168197.0,168197.0,146103.0,146103.0,146103.0,146103.0,146103.0,146103.0,146103.0,146103.0,146103.0,146103.0,999999.0,999999.0,43000.0
2,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,CSE,128861.0,128861.0,176504.0,177370.0,157250.0,157250.0,161249.0,172486.0,163789.0,163789.0,128861.0,128861.0,176374.0,177195.0,167062.0,167062.0,173286.0,136779.0,43000.0
3,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,ECE,161894.0,161894.0,174884.0,177676.0,161894.0,161894.0,161894.0,161894.0,161894.0,169552.0,161894.0,161894.0,161894.0,161894.0,161894.0,161894.0,113560.0,118267.0,43000.0
4,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,EEE,150417.0,150417.0,164975.0,164975.0,150417.0,150417.0,150417.0,150417.0,150417.0,150417.0,150417.0,150417.0,150417.0,150417.0,150417.0,150417.0,999999.0,999999.0,43000.0
5,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,GOLLAPROLU,COED,JNTUK,MEC,152545.0,152545.0,154902.0,154902.0,152545.0,157155.0,152545.0,152545.0,152545.0,152545.0,152545.0,152545.0,156064.0,156064.0,152545.0,152545.0,166550.0,166550.0,43000.0
6,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,CIV,71458.0,71458.0,165515.0,175777.0,108103.0,121894.0,121512.0,175154.0,103308.0,173293.0,71458.0,121793.0,96634.0,96634.0,71458.0,71458.0,81009.0,81067.0,53500.0
7,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,CSD,38871.0,38871.0,140467.0,160622.0,151805.0,156024.0,71005.0,71005.0,64627.0,66698.0,38871.0,38871.0,49803.0,56411.0,150056.0,150056.0,38653.0,41848.0,53500.0
8,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,CSE,25298.0,25298.0,96256.0,134974.0,162100.0,162100.0,52238.0,52238.0,43130.0,43130.0,92163.0,103952.0,36237.0,36237.0,135949.0,135949.0,30016.0,28767.0,53500.0
9,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,CSM,32023.0,32023.0,155838.0,173032.0,151318.0,165275.0,62296.0,71996.0,59902.0,64713.0,116275.0,116275.0,50679.0,50679.0,144644.0,144644.0,36444.0,35619.0,53500.0
10,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,ECE,42426.0,45361.0,152577.0,171399.0,172849.0,172849.0,90140.0,90140.0,66335.0,75200.0,67761.0,99432.0,61898.0,61898.0,130991.0,163207.0,46455.0,46867.0,53500.0
11,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,EEE,49158.0,49158.0,158140.0,158140.0,162896.0,162896.0,99964.0,99964.0,109687.0,109687.0,49158.0,49158.0,83745.0,83745.0,84722.0,84722.0,55707.0,55644.0,53500.0
12,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,INF,37216.0,37216.0,152287.0,158393.0,154576.0,156260.0,84845.0,84845.0,60924.0,60924.0,140060.0,140060.0,59396.0,59396.0,131808.0,131808.0,41596.0,40279.0,53500.0
13,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,MEC,65182.0,122918.0,176499.0,176499.0,159792.0,161231.0,131468.0,131468.0,100592.0,122918.0,65182.0,136129.0,108178.0,122918.0,142038.0,142038.0,84177.0,128039.0,53500.0
14,ACPS,ADITYA COLLEGE OF PHARMACY,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,PHD,80115.0,80115.0,121336.0,121336.0,126509.0,126509.0,80115.0,80115.0,80115.0,133398.0,80115.0,80115.0,80115.0,155852.0,80115.0,129682.0,94987.0,94987.0,38000.0
15,ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,EAST GODAVARI,RAJAHMUNDRY,COED,AKNU,CIV,107746.0,171703.0,176873.0,176873.0,169855.0,171703.0,148777.0,171703.0,129395.0,171703.0,107746.0,171703.0,170736.0,171703.0,153026.0,171703.0,171428.0,172882.0,35000.0
16,ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,EAST GODAVARI,RAJAHMUNDRY,COED,AKNU,CSE,41808.0,41808.0,77207.0,77207.0,110043.0,110043.0,110559.0,110559.0,112886.0,112886.0,51640.0,51640.0,44549.0,84434.0,75803.0,75803.0,58836.0,47585.0,35000.0
17,ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,EAST GODAVARI,RAJAHMUNDRY,COED,AKNU,ECE,39968.0,39968.0,110237.0,110237.0,129384.0,129384.0,108925.0,168062.0,157734.0,157734.0,56048.0,56048.0,60525.0,107253.0,145834.0,145834.0,76888.0,71433.0,35000.0
18,ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,EAST GODAVARI,RAJAHMUNDRY,COED,AKNU,EIE,101020.0,101020.0,174514.0,174514.0,101020.0,130904.0,149468.0,149468.0,169478.0,169478.0,101020.0,129594.0,142882.0,158705.0,101020.0,101020.0,151777.0,151998.0,35000.0
19,ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,EAST GODAVARI,RAJAHMUNDRY,COED,AKNU,MEC,101368.0,101368.0,177045.0,177045.0,175316.0,175316.0,169572.0,169572.0,154389.0,171143.0,101368.0,101368.0,155682.0,155682.0,101368.0,101368.0,147022.0,139484.0,35000.0
20,APCS,ADITYA PHARMACY COLLEGE,PVT,EAST GODAVARI,PEDDAPURAM,COED,JNTUK,PHD,76005.0,105788.0,76005.0,105788.0,76005.0,105788.0,76005.0,105788.0,76005.0,105788.0,76005.0,105788.0,76005.0,105788.0,76005.0,105788.0,999999.0,999999.0,65000.0
21,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,EAST GODAVARI,ODALAREVU,COED,JNTUK,AIM,68839.0,68839.0,163892.0,176151.0,152821.0,163749.0,132734.0,132734.0,127028.0,150967.0,68839.0,68839.0,90093.0,105862.0,146316.0,146316.0,79663.0,95086.0,48800.0
22,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,EAST GODAVARI,ODALAREVU,COED,JNTUK,CAD,67481.0,69874.0,177207.0,177207.0,170660.0,176801.0,148200.0,156752.0,133546.0,133546.0,67481.0,69874.0,164088.0,164088.0,79799.0,157673.0,81456.0,80460.0,48800.0
23,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,EAST GODAVARI,ODALAREVU,COED,JNTUK,CIV,126892.0,150223.0,165043.0,174759.0,149670.0,153179.0,172334.0,172334.0,169524.0,169524.0,152757.0,152757.0,153377.0,153377.0,151162.0,171962.0,147923.0,167691.0,48800.0
24,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,EAST GODAVARI,ODALAREVU,COED,JNTUK,CSE,56054.0,56054.0,155249.0,165172.0,153701.0,153701.0,91993.0,156579.0,131947.0,131947.0,77566.0,81066.0,107645.0,107645.0,85643.0,85643.0,69853.0,67433.0,48800.0
25,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,EAST GODAVARI,ODALAREVU,COED,JNTUK,CSM,63316.0,63316.0,174346.0,174346.0,165324.0,165324.0,158651.0,158651.0,128800.0,131550.0,85114.0,85114.0,133539.0,133539.0,130701.0,130701.0,71840.0,84869.0,48800.0
26,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,EAST GODAVARI,ODALAREVU,COED,JNTUK,ECE,82990.0,101257.0,177602.0,177602.0,170120.0,170120.0,154673.0,154673.0,141829.0,147379.0,103236.0,103236.0,111320.0,170237.0,148161.0,148161.0,94252.0,99703.0,48800.0
27,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,EAST GODAVARI,ODALAREVU,COED,JNTUK,EEE,115620.0,115620.0,163324.0,163324.0,115777.0,122554.0,154618.0,160586.0,149011.0,155973.0,115620.0,134357.0,176136.0,176136.0,115620.0,115620.0,121281.0,152249.0,48800.0
28,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,EAST GODAVARI,ODALAREVU,COED,JNTUK,INF,84411.0,120290.0,165770.0,165770.0,90018.0,120290.0,127210.0,141480.0,137017.0,172603.0,84411.0,120290.0,151813.0,163924.0,162605.0,162605.0,90946.0,89254.0,48800.0
29,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,EAST GODAVARI,ODALAREVU,COED,JNTUK,MEC,126947.0,155185.0,161698.0,161698.0,170437.0,170437.0,175302.0,175302.0,153629.0,175639.0,126947.0,155185.0,168541.0,169962.0,141002.0,160988.0,173911.0,166162.0,48800.0
30,BVCR,BVC COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,RAJAHMUNDRY,COED,JNTUK,AID,75128.0,75128.0,177656.0,177656.0,88980.0,110640.0,173173.0,173173.0,175215.0,175215.0,135132.0,135132.0,168290.0,168290.0,151141.0,151141.0,111778.0,172491.0,43000.0
31,BVCR,BVC COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,RAJAHMUNDRY,COED,JNTUK,CSE,75707.0,75707.0,176173.0,177469.0,175195.0,175195.0,176121.0,176121.0,174986.0,174986.0,151144.0,151144.0,113716.0,150917.0,169820.0,169820.0,108909.0,136125.0,43000.0
32,BVCR,BVC COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,RAJAHMUNDRY,COED,JNTUK,CSM,78455.0,110361.0,173939.0,173939.0,163982.0,163982.0,174234.0,174234.0,166140.0,171880.0,78455.0,110361.0,141094.0,141094.0,166550.0,166550.0,128855.0,124109.0,43000.0
33,BVCR,BVC COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,RAJAHMUNDRY,COED,JNTUK,ECE,105760.0,137581.0,142802.0,164764.0,148322.0,159565.0,154341.0,169506.0,172640.0,172640.0,161862.0,161862.0,172274.0,172274.0,139053.0,174966.0,169490.0,163957.0,43000.0
34,BVCR,BVC COLLEGE OF ENGINEERING,PVT,EAST GODAVARI,RAJAHMUNDRY,COED,JNTUK,INF,121784.0,149111.0,154444.0,154444.0,174655.0,174655.0,175730.0,175730.0,166924.0,166924.0,121784.0,149111.0,154445.0,172497.0,171986.0,171986.0,173308.0,147785.0,43000.0
35,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,EAST GODAVARI,AMALAPURAM,COED,JNTUK,AIM,46093.0,46093.0,139668.0,145085.0,145668.0,149972.0,86799.0,121264.0,54011.0,54011.0,46093.0,46093.0,138956.0,138956.0,46093.0,46093.0,48138.0,48846.0,52800.0
36,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,EAST GODAVARI,AMALAPURAM,COED,JNTUK,CAD,52009.0,52009.0,141849.0,141849.0,149870.0,149870.0,76399.0,76399.0,60827.0,66208.0,52009.0,120111.0,98215.0,98215.0,96648.0,96648.0,60583.0,60405.0,52800.0
37,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,EAST GODAVARI,AMALAPURAM,COED,JNTUK,CIV,126466.0,126466.0,177041.0,177041.0,170816.0,176697.0,156955.0,169635.0,172946.0,172946.0,126466.0,126466.0,134042.0,167107.0,163506.0,163506.0,147726.0,132131.0,52800.0
38,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,EAST GODAVARI,AMALAPURAM,COED,JNTUK,CSE,37462.0,37462.0,126781.0,126781.0,136069.0,159573.0,60339.0,60339.0,51647.0,51647.0,161409.0,161409.0,103772.0,154500.0,159310.0,159310.0,45623.0,45258.0,52800.0
39,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,EAST GODAVARI,AMALAPURAM,COED,JNTUK,ECE,69316.0,69316.0,161335.0,161335.0,159317.0,159317.0,144232.0,145911.0,105812.0,108635.0,79221.0,79221.0,152595.0,152595.0,175224.0,175224.0,78269.0,82508.0,52800.0
40,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,EAST GODAVARI,AMALAPURAM,COED,JNTUK,EEE,104895.0,154731.0,149663.0,162506.0,165232.0,165232.0,162166.0,162166.0,149123.0,155318.0,104895.0,154731.0,173910.0,177062.0,132229.0,154731.0,104845.0,116078.0,52800.0
41,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,EAST GODAVARI,AMALAPURAM,COED,JNTUK,INF,72055.0,72055.0,161694.0,161694.0,160756.0,160756.0,130978.0,130978.0,93082.0,109201.0,161243.0,161243.0,78486.0,78486.0,124365.0,141723.0,71228.0,71043.0,52800.0
42,CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,EAST GODAVARI,KAKINADA,COED,JNTUK,AID,142677.0,142677.0,176942.0,176942.0,142677.0,142677.0,142677.0,142677.0,145833.0,145833.0,142677.0,142677.0,158325.0,158325.0,142677.0,142677.0,999999.0,999999.0,43000.0
43,CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,EAST GODAVARI,KAKINADA,COED,JNTUK,AIM,999999.0,999999.0,117778.0,117778.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,153961.0,153961.0,999999.0,999999.0,999999.0,999999.0,43000.0
44,CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,EAST GODAVARI,KAKINADA,COED,JNTUK,CSE,140387.0,140387.0,173133.0,177632.0,175380.0,175380.0,173533.0,173533.0,154825.0,172393.0,157499.0,157499.0,172144.0,172144.0,172916.0,172916.0,173016.0,166832.0,43000.0
45,CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,EAST GODAVARI,KAKINADA,COED,JNTUK,ECE,134603.0,134603.0,134603.0,134603.0,161514.0,161514.0,134603.0,134603.0,134603.0,134603.0,134603.0,134603.0,172821.0,172821.0,134603.0,134603.0,999999.0,999999.0,43000.0
46,GIET,GIET ENGINEERING COLLEGE,PVT,EAST GODAVARI,RAJAHMUNDRY,COED,JNTUK,CSD,60948.0,60948.0,152535.0,165829.0,152845.0,163514.0,139040.0,139040.0,138243.0,138243.0,60948.0,60948.0,81486.0,81486.0,85131.0,85131.0,63537.0,54662.0,51000.0
47,GIET,GIET ENGINEERING COLLEGE,PVT,EAST GODAVARI,RAJAHMUNDRY,COED,JNTUK,CSE,60668.0,60668.0,165097.0,165510.0,170081.0,170081.0,126170.0,126170.0,101635.0,142146.0,97437.0,99981.0,84106.0,91563.0,174647.0,174647.0,69518.0,61536.0,51000.0
48,GIET,GIET ENGINEERING COLLEGE,PVT,EAST GODAVARI,RAJAHMUNDRY,COED,JNTUK,CSM,64867.0,64867.0,167268.0,167268.0,130982.0,157107.0,129790.0,129790.0,138350.0,153820.0,64867.0,64867.0,70178.0,70178.0,68266.0,68266.0,47032.0,49124.0,51000.0
49,GIET,GIET ENGINEERING COLLEGE,PVT,EAST GODAVARI,RAJAHMUNDRY,COED,JNTUK,ECE,53135.0,53135.0,171228.0,177787.0,90349.0,145106.0,135193.0,135193.0,97764.0,160879.0,53135.0,53135.0,91042.0,102188.0,151297.0,151297.0,73885.0,50097.0,51000.0
50,GIET,GIET ENGINEERING COLLEGE,PVT,EAST GODAVARI,RAJAHMUNDRY,COED,JNTUK,INF,82739.0,82739.0,169745.0,172117.0,177286.0,177286.0,169276.0,174123.0,151052.0,154619.0,82739.0,86157.0,89694.0,113972.0,108682.0,108682.0,88633.0,56284.0,51000.0
51,GIET,GIET ENGINEERING COLLEGE,PVT,EAST GODAVARI,RAJAHMUNDRY,COED,JNTUK,MEC,91022.0,91022.0,143288.0,171814.0,159616.0,159616.0,175927.0,175927.0,174611.0,174814.0,170001.0,170001.0,168458.0,173528.0,132309.0,158763.0,111161.0,111161.0,51000.0
52,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,EAST GODAVARI,KAKINADA,COED,JNTUK,CSE,59107.0,59107.0,165928.0,176291.0,170932.0,177770.0,134684.0,144126.0,101953.0,101953.0,86256.0,86256.0,96463.0,96463.0,133901.0,156221.0,78991.0,78843.0,43000.0
53,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,EAST GODAVARI,KAKINADA,COED,JNTUK,CSM,73985.0,73985.0,174725.0,174725.0,90522.0,90522.0,124473.0,154040.0,118012.0,118012.0,104856.0,104856.0,113024.0,116708.0,135506.0,135506.0,80295.0,81446.0,43000.0
54,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,EAST GODAVARI,KAKINADA,COED,JNTUK,ECE,57918.0,57918.0,164698.0,173757.0,172577.0,172577.0,146176.0,146176.0,110188.0,110188.0,57918.0,57918.0,110671.0,115645.0,115840.0,115840.0,82387.0,85541.0,43000.0
55,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,EAST GODAVARI,KAKINADA,COED,JNTUK,MEC,113733.0,170543.0,169172.0,170543.0,143922.0,170543.0,160226.0,170543.0,170351.0,170543.0,113733.0,170543.0,161721.0,170543.0,113733.0,170543.0,133196.0,149140.0,43000.0
56,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,EAST GODAVARI,RAJAHMUNDRY,GIRLS,JNTUK,AGR,137018.0,137018.0,137018.0,137018.0,137018.0,137018.0,137018.0,137018.0,137018.0,137018.0,999999.0,999999.0,137018.0,137018.0,137018.0,137018.0,999999.0,999999.0,51100.0
57,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,EAST GODAVARI,RAJAHMUNDRY,GIRLS,JNTUK,AIM,155850.0,155850.0,173801.0,173801.0,155850.0,155850.0,175646.0,175646.0,176721.0,176721.0,155850.0,155850.0,157868.0,157868.0,155850.0,155850.0,166519.0,166519.0,51100.0
58,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,EAST GODAVARI,RAJAHMUNDRY,GIRLS,JNTUK,CAI,140950.0,140950.0,164620.0,164620.0,142037.0,142037.0,158505.0,158505.0,176233.0,176233.0,166943.0,166943.0,168884.0,168884.0,173144.0,173144.0,160511.0,160511.0,51100.0
59,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,EAST GODAVARI,RAJAHMUNDRY,GIRLS,JNTUK,CSE,91496.0,91496.0,175331.0,175331.0,177498.0,177498.0,171979.0,171979.0,174227.0,174227.0,109785.0,109785.0,131921.0,131921.0,174865.0,174865.0,151916.0,151916.0,51100.0
60,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,EAST GODAVARI,RAJAHMUNDRY,GIRLS,JNTUK,DS,150739.0,150739.0,175903.0,175903.0,155957.0,155957.0,173906.0,173906.0,150739.0,150739.0,999999.0,999999.0,173876.0,173876.0,159469.0,159469.0,154787.0,154787.0,51100.0
61,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,EAST GODAVARI,RAJAHMUNDRY,GIRLS,JNTUK,ECE,135402.0,135402.0,174564.0,174564.0,160206.0,160206.0,166655.0,166655.0,174656.0,174656.0,999999.0,999999.0,149181.0,149181.0,135402.0,135402.0,143420.0,143420.0,51100.0
62,ISTSOC,INTERNATIONAL SCHOOL OF TECH AND SCI -OFF CAMPUS,PVT,EAST GODAVARI,JANGAREDDYGUDEM,COED,JNTUK,AIM,142070.0,158739.0,170134.0,170134.0,172423.0,172423.0,169919.0,169919.0,145400.0,158739.0,142070.0,158739.0,142070.0,158739.0,142070.0,158739.0,172502.0,159058.0,43000.0
63,ISTSOC,INTERNATIONAL SCHOOL OF TECH AND SCI -OFF CAMPUS,PVT,EAST GODAVARI,JANGAREDDYGUDEM,COED,JNTUK,CSE,151131.0,151131.0,177512.0,177512.0,151131.0,151131.0,151131.0,168224.0,151131.0,151131.0,151131.0,151131.0,170901.0,170901.0,151131.0,151131.0,149166.0,149166.0,43000.0
64,JNKFSF,SCHOOL OF FOOD TECHNOLOGY JNTUK KAKINADA-SELF FINANCE,SF,EAST GODAVARI,KAKINADA,COED,JNTUK,FDE,67964.0,67964.0,119731.0,119731.0,129729.0,155669.0,172952.0,172952.0,120743.0,120743.0,67964.0,67964.0,111049.0,111049.0,125663.0,125663.0,96074.0,103437.0,45000.0
