INST_CODE,INST_NAME,BRANCH_CODE,DISTRICT,COED,AFFLIATED,COLLEGE_FEE,CUTOFF,CATEGORY,GENDER,YEAR
ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,EAST GODAVARI,COED,JNTUK,35000.0,143031.0,OC,BOYS,2022
ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,EAST GODAVARI,COED,JNTUK,35000.0,132938.0,OC,BOYS,2022
ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,EAST GODAVARI,COED,JNTUK,35000.0,114459.0,OC,BOYS,2022
ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,EAST GODAVARI,COED,JNTUK,35000.0,169131.0,OC,BOYS,2022
ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,EAST GODAVARI,COED,JNTUK,35000.0,169131.0,OC,BOYS,2022
ACES,ADITYA COLLEGE OF ENGINEERING,CIV,EAST GODAVARI,COED,JNTUK,38000.0,81311.0,OC,BOYS,2022
ACES,ADITYA COLLEGE OF ENGINEERING,CSE,EAST GODAVARI,COED,JNTUK,38000.0,31900.0,OC,BOYS,2022
ACES,ADITYA COLLEGE OF ENGINEERING,CSM,EAST GODAVARI,COED,JNTUK,38000.0,44767.0,OC,BOYS,2022
ACES,ADITYA COLLEGE OF ENGINEERING,CSO,EAST GODAVARI,COED,JNTUK,38000.0,53492.0,OC,BOYS,2022
ACES,ADITYA COLLEGE OF ENGINEERING,ECE,EAST GODAVARI,COED,JNTUK,38000.0,59801.0,OC,BOYS,2022
ACES,ADITYA COLLEGE OF ENGINEERING,EEE,EAST GODAVARI,COED,JNTUK,38000.0,86786.0,OC,BOYS,2022
ACES,ADITYA COLLEGE OF ENGINEERING,MEC,EAST GODAVARI,COED,JNTUK,38000.0,169131.0,OC,BOYS,2022
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,CIV,EAST GODAVARI,COED,JNTUK,37000.0,135022.0,OC,BOYS,2022
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,CSD,EAST GODAVARI,COED,JNTUK,37000.0,32732.0,OC,BOYS,2022
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,CSE,EAST GODAVARI,COED,JNTUK,37000.0,21243.0,OC,BOYS,2022
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,CSM,EAST GODAVARI,COED,JNTUK,37000.0,32886.0,OC,BOYS,2022
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,ECE,EAST GODAVARI,COED,JNTUK,37000.0,45410.0,OC,BOYS,2022
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,EEE,EAST GODAVARI,COED,JNTUK,37000.0,83253.0,OC,BOYS,2022
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,INF,EAST GODAVARI,COED,JNTUK,37000.0,36819.0,OC,BOYS,2022
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,MEC,EAST GODAVARI,COED,JNTUK,37000.0,143235.0,OC,BOYS,2022
ACPS,ADITYA COLLEGE OF PHARMACY,PHD,EAST GODAVARI,COED,JNTUK,56600.0,129723.0,OC,BOYS,2022
ACPS,ADITYA COLLEGE OF PHARMACY,PHM,EAST GODAVARI,COED,JNTUK,45000.0,169131.0,OC,BOYS,2022
