INST_CODE,INST_NAME,BRANCH_CODE,DISTRICT,COED,AFFLIATED,COLLEGE_FEE,CUTOFF,CATEGORY,GENDER,YEAR
ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,EAST GODAVARI,COED,JNTUK,35000,143031.0,OC,BOYS,2022
ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,EAST GODAVARI,COED,JNTUK,35000,132938.0,OC,BOYS,2022
ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,EAST GODAVARI,COED,JNTUK,35000,114459.0,OC,BOYS,2022
ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,EAST GODAVARI,COED,JNTUK,35000,169131.0,OC,BOYS,2022
ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,EAST GODAVARI,COED,JNTUK,35000,169131.0,OC,BOYS,2022
ACES,ADITYA COLLEGE OF ENGINEERING,CIV,EAST GODAVARI,COED,JNTUK,38000,81311.0,OC,BOYS,2022
ACES,ADITYA COLLEGE OF ENGINEERING,CSE,EAST GODAVARI,COED,JNTUK,38000,31900.0,OC,BOYS,2022
ACES,ADITYA COLLEGE OF ENGINEERING,CSM,EAST GODAVARI,COED,JNTUK,38000,44767.0,OC,BOYS,2022
ACES,ADITYA COLLEGE OF ENGINEERING,CSO,EAST GODAVARI,COED,JNTUK,38000,53492.0,OC,BOYS,2022
ACES,ADITYA COLLEGE OF ENGINEERING,ECE,EAST GODAVARI,COED,JNTUK,38000,59801.0,OC,BOYS,2022
ACES,ADITYA COLLEGE OF ENGINEERING,EEE,EAST GODAVARI,COED,JNTUK,38000,86786.0,OC,BOYS,2022
ACES,ADITYA COLLEGE OF ENGINEERING,MEC,EAST GODAVARI,COED,JNTUK,38000,169131.0,OC,BOYS,2022
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,CIV,EAST GODAVARI,COED,JNTUK,37000,135022.0,OC,BOYS,2022
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,CSD,EAST GODAVARI,COED,JNTUK,37000,32732.0,OC,BOYS,2022
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,CSE,EAST GODAVARI,COED,JNTUK,37000,21243.0,OC,BOYS,2022
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,CSM,EAST GODAVARI,COED,JNTUK,37000,32886.0,OC,BOYS,2022
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,ECE,EAST GODAVARI,COED,JNTUK,37000,45410.0,OC,BOYS,2022
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,EEE,EAST GODAVARI,COED,JNTUK,37000,83253.0,OC,BOYS,2022
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,INF,EAST GODAVARI,COED,JNTUK,37000,36819.0,OC,BOYS,2022
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,MEC,EAST GODAVARI,COED,JNTUK,37000,143235.0,OC,BOYS,2022
ACPS,ADITYA COLLEGE OF PHARMACY,PHD,EAST GODAVARI,COED,JNTUK,56600,129723.0,OC,BOYS,2022
ACPS,ADITYA COLLEGE OF PHARMACY,PHM,EAST GODAVARI,COED,JNTUK,45000,169131.0,OC,BOYS,2022
ADCP,ADARSHA COLL OF PHARMACY,PHM,EAST GODAVARI,COED,JNTUK,35000,57013.0,OC,BOYS,2022
ADTP,ADITYA ENGINEERING COLLEGE,AGR,EAST GODAVARI,COED,JNTUK,51100,115578.0,OC,BOYS,2022
ADTP,ADITYA ENGINEERING COLLEGE,AIM,EAST GODAVARI,COED,JNTUK,51100,24491.0,OC,BOYS,2022
ADTP,ADITYA ENGINEERING COLLEGE,CIV,EAST GODAVARI,COED,JNTUK,51100,77581.0,OC,BOYS,2022
ADTP,ADITYA ENGINEERING COLLEGE,CSD,EAST GODAVARI,COED,JNTUK,51100,20564.0,OC,BOYS,2022
ADTP,ADITYA ENGINEERING COLLEGE,CSE,EAST GODAVARI,COED,JNTUK,51100,13008.0,OC,BOYS,2022
ADTP,ADITYA ENGINEERING COLLEGE,ECE,EAST GODAVARI,COED,JNTUK,51100,31815.0,OC,BOYS,2022
ADTP,ADITYA ENGINEERING COLLEGE,EEE,EAST GODAVARI,COED,JNTUK,51100,66284.0,OC,BOYS,2022
