inst_code,inst_name,type,DIST,PLACE,COED,branch_ code,OC_BO YS,OC_GIR LS,SC_BOY S,SC_GIR LS,ST_BOY S,ST_GIR LS,BCA_B OYS,BCA_GI RLS,BCB_B OYS,BCB_GI RLS,BCC_B OYS,BCC_GI RLS,BCD_B OYS,BCD_GI RLS,BCE_B OYS,BCE_GI RLS,OC_EWS_B OYS,OC_EWS_GI RLS,Year
ABRK,"ABR COLLEGE OF ENGG AND
TECHNOLOGY",PVT,PKS,KANIGIRI,COED,AGR,128160.0,128160.0,128160.0,128160.0,128160.0,128160.0,128160.0,128160.0,128160.0,128160.0,128160.0,128160.0,128160.0,128160.0,128160.0,128160.0,37934.0,85987.0,2019.0
ABRK,"ABR COLLEGE OF ENGG AND
TECHNOLOGY",PVT,PKS,KANIGIRI,COED,CIV,111668.0,111668.0,111668.0,129732.0,111668.0,111668.0,122096.0,122096.0,111668.0,111668.0,111668.0,111668.0,119705.0,130367.0,111668.0,111668.0,104696.0,85987.0,2019.0
ABRK,"ABR COLLEGE OF ENGG AND
TECHNOLOGY",PVT,PKS,KANIGIRI,COED,CSE,117208.0,126907.0,120588.0,126907.0,117208.0,126907.0,117208.0,126907.0,117208.0,126907.0,117208.0,126907.0,117208.0,126907.0,117208.0,126907.0,128517.0,106753.0,2019.0
ABRK,"ABR COLLEGE OF ENGG AND
TECHNOLOGY",PVT,PKS,KANIGIRI,COED,ECE,130056.0,130085.0,130056.0,130085.0,130056.0,130085.0,130110.0,130110.0,130150.0,130159.0,110505.0,124036.0,130146.0,130146.0,130056.0,130085.0,163037.0,85987.0,2019.0
ABRK,"ABR COLLEGE OF ENGG AND
TECHNOLOGY",PVT,PKS,KANIGIRI,COED,EEE,102686.0,102686.0,102686.0,102686.0,102686.0,102686.0,102686.0,102686.0,102686.0,102686.0,102686.0,102686.0,102686.0,102686.0,102686.0,102686.0,124481.0,85987.0,2019.0
ABRK,"ABR COLLEGE OF ENGG AND
TECHNOLOGY",PVT,PKS,KANIGIRI,COED,MEC,109430.0,109430.0,109430.0,109430.0,109430.0,109430.0,109430.0,109430.0,109430.0,109430.0,109430.0,109430.0,109430.0,109430.0,109430.0,109430.0,147718.0,85987.0,2019.0
ABRK,"ABR COLLEGE OF ENGG AND
TECHNOLOGY",PVT,PKS,KANIGIRI,COED,MIN,100160.0,100160.0,115071.0,115071.0,121461.0,121461.0,100160.0,100160.0,125134.0,125134.0,100160.0,100160.0,100160.0,100160.0,100160.0,130236.0,98483.0,85987.0,2019.0
ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,EG,GOLLAPROLU,COED,CIV,119023.0,126345.0,130438.0,130438.0,119023.0,126345.0,124315.0,126345.0,119023.0,126439.0,119023.0,126345.0,119023.0,126345.0,119023.0,126345.0,158522.0,85987.0,2019.0
ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,EG,GOLLAPROLU,COED,CSE,62804.0,83261.0,126988.0,126988.0,80467.0,130389.0,129110.0,129110.0,126042.0,126042.0,62804.0,83261.0,126470.0,127998.0,126699.0,126699.0,128454.0,120842.0,2019.0
ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,EG,GOLLAPROLU,COED,ECE,120929.0,120929.0,120944.0,120944.0,120929.0,120929.0,120929.0,120929.0,120929.0,120929.0,120929.0,120929.0,120929.0,120929.0,120929.0,120929.0,122804.0,85987.0,2019.0
